1,1,1.5 л
2,1,2150 Вт
3,1,скрытый нагревательный элемент
4,1,фильтр
5,1,стекло\\пластик
1,2,1.7 л
2,2,2200 Вт
3,2,скрытый нагревательный элемент
4,2,фильтр
5,2,стекло\\пластик
1,3,1.7 л
2,3,2200 Вт
3,3,скрытый нагревательный элемент
4,3,фильтр
5,3,стекло\\металл
1,4,1.5 л
2,4,2150 Вт
3,4,скрытый нагревательный элемент
4,4,фильтр
5,4,стекло\\пластик
1,5,2 л
2,5,2200 Вт
3,5,скрытый нагревательный элемент
4,5,фильтр
5,5,стекло\\пластик
1,6,1.7 л
2,6,2200 Вт
3,6,скрытый нагревательный элемент
4,6,фильтр
5,6,стекло\\пластик
1,7,1.8 л
2,7,2400 Вт
3,7,скрытый нагревательный элемент
4,7,фильтр
5,7,пластик
1,8,1.2 л
2,8,1200 Вт
3,8,скрытый нагревательный элемент
4,8,NULL
5,8,керамика
1,9,1.5 л
2,9,2150 Вт
3,9,скрытый нагревательный элемент
4,9,фильтр
5,9,стекло\\пластик
1,10,1.8 л
2,10,2200 Вт
3,10,скрытый нагревательный элемент
4,10,фильтр
5,10,металл\\пластик
1,11,1 л
2,11,1950 Вт
3,11,скрытый нагревательный элемент
4,11,фильтр
5,11,стекло\\пластик
1,12,1.5 л
2,12,2150 Вт
3,12,скрытый нагревательный элемент
4,12,фильтр
5,12,стекло\\пластик
1,13,1.5 л
2,13,2000 Вт
3,13,скрытый нагревательный элемент
4,13,NULL
5,13,металл
1,14,1.7 л
2,14,2200 Вт
3,14,скрытый нагревательный элемент
4,14,фильтр
5,14,стекло\\металл
1,15,1.5 л
2,15,2200 Вт
3,15,скрытый нагревательный элемент
4,15,фильтр
5,15,стекло\\пластик
1,16,2 л
2,16,2200 Вт
3,16,скрытый нагревательный элемент
4,16,фильтр
5,16,стекло\\пластик
1,17,1.7 л
2,17,2200 Вт
3,17,скрытый нагревательный элемент
4,17,фильтр
5,17,стекло\\пластик
1,18,1.7 л
2,18,2200 Вт
3,18,скрытый нагревательный элемент
4,18,фильтр
5,18,пластик
1,19,1.7 л
2,19,2200 Вт
3,19,скрытый нагревательный элемент
4,19,фильтр
5,19,металл\\пластик
1,20,2 л
2,20,2000 Вт
3,20,скрытый нагревательный элемент
4,20,фильтр
5,20,металл\\пластик
6,21,800 Вт
7,21,скоростей - 10
